skill_raw;observations;skill_normalized;possible_domains;possible_fields;type_of_skill;too_generic
Pipeline Operations;a pipeline could be both a real hydraulic pipeline and an informational one;Pipeline Operations;Hydraulic Engineering, Information Technology;Engineering, Information Technology;Hard;0
Data Room;most data rooms nowadays are just pieces of software, physical data rooms are extremely rare;Data Room;Data Management;Information Technology;Hard;0
WordPress;WordPress is a web development tool;WordPress;Web Development;Information Technology;Hard;0
job advertisements; this skill has two parts, marketing and HR;Recruitment Advertising;Recruitment, Advertising;Human Resources, Marketing;Soft;0
2ε;difficult skill to normalize, since 2ε is a version of LaTeX we will normalize it in that way;LaTeX;Markup Language;Information Technology;Hard;0
employment practices;the knowledge of labor law;Labor Law Knowledge;Labor Law;Human Resources;Soft;0
ability to lead and supervise a team of technicians; the ability to lead a team;Team Leadership;Team Management;Human Resources;Soft;0
SOP’s;SOP is an acronym, that probability stands for Standard Operating Procedures;Standard Operating Procedures;Business Management;Business Management;Soft;0
A&H;A&H is an acronym that stands for Allen & Heath, a company that produces audio mixing equipment;Mixing consoles;Audio Equipment;Miusic;Hard;0
Hilfsassistentin - Institute of Marketing and Business Management;Hilfsassistentin is a German word that stands for assistant;Assistant;Business Management;Business Management;Soft;0
Vendite;Vendite is an Italian word that stands for sales;Sales;Sales;Sales;Soft;0
Stochastic Modelling;Stochastic Modelling is a statistical skill;Stochastic Modelling;Statistics;Mathematics;Hard;0
plant startup and shutdown;this probably refers to experience in the startup and shutdown of industrial plants;Plant Startup and Shutdown;Plant Operations;Operations Management;Hard;0
patent offices;this skill probably refers to the knowledge of patent law;Patent Law;Intellectual Property and Copyright Law;Legal;0
results driven;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
Technical Report Writing;the ability to write technical reports is a form of comunication;Technical Report Writing;Written Communication;Communication;Soft;0
Patent Law;Patent Law is a legal skill;Patent Law;Intellectual Property and Copyright Law;Legal;0
professional ethics;too generic;Professional Ethics;Mental Skills;Personal Skills;Soft;1
written communication;this skill is a form of communication;Written Communication;Written Communication;Communication;Soft;0
computer software;too generic, but is related to informatics;Computer Software;Computer Skills;Information Technology;Hard;1
goal orientation;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
ReSharper;ReSharper is a visual studio extesion for software development;ReSharper;Software Development;Information Technology;Hard;0
63 Licenses;the Series 63 is a securities exam and license;Series 63;Financial Securities;Financial Services;Hard;0
lift 50 lbs. on a daily continuous basis;a physical skill;Physical Strenght;Physical Skills;Personal Skills;Hard;0
production supervisor;this is the ability to supervise a production line;Production Supervision;Production Management;Operations Management;Soft;0
asset protection;the ability to protect financial assets;Asset Protection;Financial Security;Financial Services;Soft;0
customer-first mindset;Prioritizazion
R);R Programming Language
terraform;Terraform
safety;Health and Safety
domestic shipping;Supply Chain Management
marine system design;Naval Engineering
soldering tools;Manufacturing
Strategic Brand Consulting;Brand Marketing
execution skills;Decision Making
reception;Customer Support
knowledge of markets relevant to product/services portfolio;Marketing Management
legal research;Legal Counseling
customer UX;User Experience Design
ability to continuously monitor waste for evidence of unacceptable waste;Waste Management
reliability-based maintenance;Maintenance
legal;Legal Counseling
airless paint spraying;Product Management
conversion rate;Accounting
FiT;FiT
stress resistance;Resilience
security by design;Cybersecurity
Tracking Market Changes;Market Research
Functional Safety;Healthcare and Medical Services
Digital Forensics;Digital Forensics
customer flow;Business Management
information systems;Computer Science
process development;Business Process
Charging Infrastructure;Electrical Wiring
business domain knowledge;Business Process
environmental hazard prevention;Security Protocols
Wireframe;Wireframing
equipment documentation;Process Management
ales reporting;Reporting
shipment management;Operations Management
learning & development;People Management
RAM Analysis;Operations Management
Atoms;Computer Science
compliance with policies and procedures;Workplace Policy Conduct
Software Asset Management;Software Development
evaluation;Product Management
Corruption Assessment;Security Protocols
safety training;Health and Safety
Brands;Brand Marketing
case law and scholars opinions;Legal Counseling
GOOGLE Webmaster Tools;Google Webmaster Tools
Compiling;Account Management
Rdo;Procurement
calculate;Business Analysis
and hydraulics;Hydraulic System Maintenance 
consultancy approach;Operations Management
Analytical Skills;Analytical Skills
CircleCI;DevOps
HSE data management;Sustainability
Health Reporting;Healthcare Administration and Management
Transaction Coordination;Accounting
adherence to policies;Workplace Policy Conduct
partnership management;Operations Management
ABC Flowcharter;Data Visualization
rework process;Business Process
construction monitoring;Construction
Energy Efficiency;Energy Management
IFRS 9;Accounting
Conceptualization;Concept Design
product-process interactions;Business Process
operations and maintenance;Operations Management
business efficiency;Business Strategy
Uniforms;PPE Management
Inverter;Electrical Wiring
long-range business plan;Business Planning
Mem Cancellations;Environmental Science
HR Planning;HR Analytics
geothermal operations and maintenance;Energy Management
Ecolabelling;Environmental Science
construction activities;Construction
OpenLink;Software Development
floor management;Business Management
buying strategy;Budgeting
Enterprise Resource Planning;Business Planning
HR coaching;Employee Training and Development
Online content creation;Content Marketing
Web Accessibility;Web Development
linear programming;Computer Programming
Payment Management;Accounting
Preparation and Monitoring of the Country SUS;Sustainability
Microsoft.NET;.NET
Strategies;Business Strategy
unloading;Operations Management
lean;Project Management
Energy and Environment;Energy Management
Export Credits;International Trading
hourly rate;Accounting
effective communication;Communication
production yield;Product Management
Accountancy;Accounting
Commercial Engineering;Business Analysis
Linguaggi Assembly;Microcontrollers
Freelance Writing;Copywriting
Architectural Engineering;Architecture
Rotor Engineering;Industrial Engineering
Spring Framework;Java
Heterocyclic Chemistry;Environmental Chemistry
corporate clients management;Corporate Governance
100% Financing;Financial Services
advancement opportunities;People Management
340B;Legal Counseling
Telecommunications;Electronics
220-801;Software & Hardware Retailing
experience in the US deregulated power industry;Power Engineering
Synertron;Manufacturing
Microsoft Office proficiency;Microsoft Office
Microsoft Office.;Microsoft Office
database concepts;Database Administration
degree in Accounting;Accounting
Database Administration;Database Administration
omnichannel technology;Business Development
cypress;Legal Counseling
wind fence installation;Structural Engineering
sales presentations;Sales
PPC;Advertising
Korean;Korean
customer service IT;IT Operations & Management
Interfacing;Communication
Performance Metrics;Performance Analysis
Incident Investigation;Security Protocols
Performance-Marketing;Performance Marketing
Sigma;Project Management
Web Traffic Analytics;Data Analytics
SCCM;Microsoft Windows
internet;Digital Awareness
disabilities;People Management
investment committee management;Financial Services
event preparation;Event Planning
Press Events;Brand Marketing
ability to summarize complex issues;Communication
warehouse automation;Warehouse Management
IP protection;Cybersecurity
knowledge of international regulations;Public International Law
LinkedIn Campaign Manager;Social Media Marketing
data accuracy;Data Analysis
diagnostic tools;Data Analysis
flexibility in scheduling;Flexibility
Microsoft Operating System;Microsoft Windows
mechanical;Mechanics
3D Coat;Graphic Design
Slack;Slack
buzz;Brand Marketing
target-setting;Sales
Industrial Waste Management;Waste Management
shopping platforms;Digital Marketing
collection development;Collection Development
travel logistics;Traveling
production reports;Product Management
bonus;Accounting
consumer insight principles;Consumer Behavior Analysis
self-motivated;Proactivity
materials management;Materials Management
Platform as a Service;Digital Marketing
Simulation software;Simulations
markets knowledge;Marketing Management
electric cost components;Energy Management
CAD/CAM;CAD
unsupervised learning;Autonomy
NET Core;.NET
Biophysical Chemistry;Biochemistry
internal audit;Business Process
full availability;Flexibility
Industrial Engineering;Industrial Engineering
pre-sales;Customer Relationship Management
marine inspections;Naval Engineering
pre-sales proposal preparation;Customer Relationship Management
relocation;People Management
Event Management;Event Planning
Purchase Order Administration;Order Processing
airless paint sprayers;Mechanics
Workload Characterization;People Management
ability to exceed expectations;Productivity
dispatch instructions;Operations Management
high-value transactions;Corporate Finance
Translational Research;Translation
ADE;Medical Advice
consensus estimates;Accounting
distributed energy resources (DERs);Energy Management
Coordination;Management
Nimble;Flexibility
components;Structural Engineering
Applied Mechanics;Mechanical Engineering
monitoring process;Reporting
Customer Storytelling;Customer Support
Localisation;Product Management
topographic knowledge;Civil Engineering
regulation analysis;Business Analysis
privacy-sensitive contracts;Data Privacy Compliance and Regulations Law
Prism;Software Development
Spatial Data Management;Data Management
RTA;Traffic Directing
exceptional customer service;Customer Support
IBM SPSS;SPSS
flexibility;Flexibility
drive;Proactivity
shop maintenance;Business Administration
Scylla;Database Administration
Power Plant Troubleshooting;Power Engineering
understanding of clean energy industry trends and emerging technologies;Energy Management
Treinamento;Physical Training
6S;Photography
contractor management;People Management
compliance monitoring;Regulatory Compliance Law
Talent Development;People Management
due diligence processes;Quality Control
multitasking;Multitasking
OJT training skills;Training
German language proficiency;German
2D art;Graphic Design
facilities;Maintenance
AFDX;Electrical Wiring
Income Tax;Tax Analyst
contract award process;People Management
Plant Science;Energy Management
dispatching;Operations Management
hedge accounting;Accounting
lean startup methodologies;Entrepreneurship
International Standard;Operations Management
Channel Branding;Brand Marketing
financial control;Budgeting
IoT protocols (REST APIs;REST APIs
shipping software;Supply Chain Management
International Affairs;International Relations
intercompany transactions;Corporate Finance
SAP Methodology;SAP
electric vehicle charging;Power Engineering
policy development;Workplace Policy Conduct
store revenue;Business Planning
woman accessories;Apparel and Fashion Design
auditory and visual awareness;Physical Endurance and Skills
maintenance instructions;Maintenance
electricity and gas trading;Power Engineering
Austrian Law;Public International Law
predictive maintenance;Maintenance
multi-jurisdictional logistics;Logistics
Print Design;Graphic Design
Decision-Making;Decision Making
Däck;Agriculture
ACF2;Cybersecurity
Strategic Human Resource Planning;People Management
Customer Relationship Management (CRM);Customer Relationship Management
Grocery;Inventory Management
employee development;Business Development
dream-maker;Proactivity
CI/CD tools;DevOps
agile methodology;Project Management
Microsoft Dynamics GP;Microsoft Dynamics
Plant Maintenance;Energy Management
following through;Accountability
supplier management;Inventory Management
Exchange;Financial Services
purpose;Interpersonal Skills
pre-employment medical;Healthcare and Medical Services
Price List Management;Cost Analysis
equipment selection;Product Management
Horizon Operating System;Software Development
protractor;Manufacturing
energy transformation;Energy Management
PFDs;Health and Safety
Mentoring;Teaching and Classroom Instruction
familiarity with maintenance and electronic testing equipment such as voltage testers;Mechanics
Cucumber;Cucumber-JVM
Policy Management;Workplace Policy Conduct
plasma cutting;Product Management
Contract Negotiation;People Management
administrative;Accounting
Adobe Creative Suite;Adobe Creative Suite
career advancement;People Management
machine design;Industrial Engineering
Pandas;Pandas
following policies and rules;Workplace Policy Conduct
cooking;Cooking
Apache NiFi;Apache NiFi
theft investigations;Security Protocols
Joomla;Joomla
Zigbee;Digital Marketing
wholesale markets analysis;Market Research
SketchUp;SketchUp
Facebook Business;Social Media Marketing
oil & gas;Oil and Gas Management
LSTMs);LSTM
experience as a dispatcher (preferred);Operations Management
overtime;Flexibility
data cleansing;Data Management
Product design;Product Design
Data Migration;Data Management
Object Detection;Business Strategy
reporting and documentation skills;Reporting
Zeplin;Zeplin
HSEQ policies;HSEQ
Synchronous Charts;Software Development
S&P Capital IQ;Finance
talent pipelining;HR
Tank Management;Energy Management
AWS Lambda;AWS
Customer Workflow Management;Business Process
Health Management;Healthcare Administration and Management
RFQ;Sales
VR Monitoring;VR
Carbon Risk Assessment;Sustainability
engineering degree or safety and occupational health degree;Well Educated
sales manager;Sales
maintaining store standards;Operations Management
Apache FOP;Apache FOP
Public Relations;Communication
depth conversion;Environmental Science
contract specialist;People Management
Symops;Cybersecurity
current readings;Electrical Wiring
Market Analysis;Market Research
Gas Trading;Oil and Gas Management
retail systems proficiency;Retail
Creative Self Efficacy;Creativity
Performance Testing;Performance Analysis
quantitative approach;Analytical Skills
Outlook proficiency;Microsoft Outlook
Microsoft SCCM;Microsoft SCCM
Validation;Accounting
Off-shore Team Management;Team Management
Inorganic Growth;Agriculture
Place Branding;Brand Marketing
cdl b;Driver License Ability
VPython;Python
Paths Development;Software Development
familiarity with rotating equipment and energized electrical equipment;Operations Management
Thesis Desk Manager;Customer Support
log analysis;Computer Science
digital learning;Digital Awareness
Industrial Troubleshooting;Product Management
language skills;Communication
Orbis;Data Collection
Punctuality;Time Management
Transformer;Electrical Wiring
deduction resolution;Accounting
objective-c;Clang
CRM initiatives;Customer Relationship Management
electric pallet truck;Rigid Vehicles
Optical Fiber;Telecommunications
balance of plant;Power Engineering
837P;Health and Safety
multi-step forecasting;Business Analysis
hazard identification;Security Protocols
Space Leasing;Real Estate and Property Law
Global Reporting Initiative;Reporting
Algorithm;Algorithms
distributed team work;Teamwork
machinery;Industrial Engineering
safety awareness;Health and Safety
mitigation actions;Business Planning
Shopping;Fashion Styling and Personal Shopping
Energy Diagnosis;Energy Management
HVAC Product Management;MEP Engineering
Sustainability Analysis;Sustainability
802.11n;Network Administration
Italian language proficiency;Italian
Google Suite;Google Suite
CRM usage;Customer Relationship Management
Elections Management;People Management
SAP Performance Monitoring;SAP
Supervisory Control and Data Acquisition (SCADA);SCADA
Cite Documentation;Copywriting
Business Turnaround;Business Strategy
GMP;Manufacturing
dataviz;Data Visualization
skit;Skit
washing dishes;Maintenance
3D, animación y CAD;CAD
Scaffolding;Pedagogy and Teaching Methods
multilingual skills (optional);Communication
brand representation;Brand Marketing
passion for work health and safety;Health and Safety
DB2;IBM DB2
2-D;Graphic Design
Windows operating system;Microsoft Windows
tyre fitting;Tire Maintenance
Rolling Stock;Trading
three lines of defence;Security Protocols
Payment Journal;Accounting
wind turbine technician;Industrial Engineering
experience with coverage tracking tools and influencer identification platforms;Data Science
Spectrum Management;Telecommunications
secretarial support;Administrative Assistance
technical activities;Operations Management
email/direct marketing;Marketing
ribbons;Manufacturing
safety policy compliance;Workplace Policy Conduct
legislation;Federal and State Law
Private Banking;Financial Services
Instagram Marketing;Social Media Marketing
Environmental Risk Assessment;Environmental Engineering
GC;Communication
fleet services;Fleet Maintenance
Pipes and Fittings;MEP Engineering
video editing;Video Production
Rto;RTO Pricing
Digitale Marketing;Digital Marketing
commercial targets;Business Analysis
Marktanalyse;Market Research
Sports Management;Sports Administration
Media Distribution;Social Media Marketing
Music Publishing;Music Publishing
German language fluency;German
product promotions;Advertising
Java Web Start;Java
ADODB;Database Administration
investigation;Auditing
sales policies;Sales
Google Adwords;Advertising
work at heights of 300 feet or more;Physical Endurance and Skills
Business Economics;Economics
Data Manipulation;Data Manipulation
display creation;Advertising
Passionate;Passionate
meeting assigned margin and turnover goals;Business Management
Signal Processing;Signal Processing
client service;Customer Relationship Management
solution-oriented approach;Problem Solving
pipelaying;Structural Engineering
organic search;Advertising
adobe bridge;Adobe Bridge
Certificate of Competence in ELENA;Labor Law and Employment Regulations
Optics;Optics & Lens
Preparation;Operations Management
dynamic;Proactivity
Radio and Television Journalism;Journalism
language fluency;Communication
PyTorch;PyTorch
CRIF Management;Risk Management
people enabling;People Management
international logistics;Logistics
Microsoft Reporting Services;Microsoft SQL Server
Land Ownership;Real Estate and Property Law
stakeholders;Economics
Lingua francese;French
IPR;Legal Counseling
interdisciplinary;Flexibility
Renewable Energy;Energy Management
Bluetooth;Telecommunications
estimation;Budgeting
Registry;Account Management
process-oriented mindset;Productivity
part-time hours;Flexibility
government statistical returns;Accounting
Process automation;Automation
MacroModel;MacroModel
lifting;Automotives
one wire;1-Wire
Optimization Algorithms;Algorithms
performance monitoring;Performance Analysis
IP Networking;Computer Science
environmental activities;Sustainability
Price Negotiation;Negotiation
new employee evaluation;People Management
O&G;Obstetrics and Gynecology
documentation skills;Account Management
Shipping Management;Operations Management
Affiliate Window;Affiliate Marketing
U.S. and Canadian travel;Traveling
Milan;International Relations
wardrobe experience;Fashion Styling and Personal Shopping
Photo Retouching;Photo Editing
engineering management;Engineering
microservices architecture;Computer Science
Field Supervision;Operations Management
cadastral issues;Civil Engineering
qa/qc engineer;Quality Control
business processes design;Business Process
SAP SDLC;SAP
vendor information;Procurement
virtual bidding;Bidding
Crowdfunding;Budgeting
proxies;Legal Counseling
3D Prototyping;Graphic Design
premium tires;Tire Maintenance
safety measures;Health and Safety
acquisition funnel;Sales
Technological Integration;Innovation
2D Software;Graphic Design
visual display standards;Advertising
opportunity identification;Business Strategy
403 b;Accounting
current digital design best practices;Graphic Design
coaching/counseling;Employee Training and Development
data architect;Data Engineering
Hydropower;Power Engineering
technical knowledge;Operations Management
Factory Safety;Health And Safety
offline marketing;Marketing Management
Shifts;Flexibility
hazard exposure;Risk Management
Italy;International Relations
Smartphone;Mobile Devices Development
stress management;Resilience
business owner;Business Administration
commuting distance;Flexibility
1H NMR;Magnetic Resonance
Energy Policy;Energy Management
Fashion design;Fashion Design
non-conforming product;Product Management
Database;Database Administration
mowers;Maintenance
OKR;People Management
Safety Data Sheet;Data Management
Consumer Branding;Brand Marketing
Regulation of the Energy Market;Energy Management
Gucci history;Retail
multi-tasking;Multitasking
Gucci Visual Standards;Apparel and Fashion Design
Elastic Search;Data Analytics
Google Analytics;Google Analytics
US GAAP;Accounting
janitorial work;Maintenance
production management;Process Management
Sponsorship;Marketing Management
equipment condition reporting;Reporting
Advertising;Advertising
driving safety;Driver License Ability
Digital Project Manager Account Manager @ Pro Web Consulting;Digital Marketing
safety policies;Health and Safety
Desktop Publishing;Desktop Publishing
fast-paced environment;Resilience
Dolce & Gabbana;Apparel and Fashion Design
Energy Services;Energy Management
plant production;Manufacturing
Mechanical Engineering;Mechanical Engineering
buying;Budgeting
Spain;International Relations
budgeting;Budgeting
KNX;MEP Engineering
A1 Assessor;Quality Control
employee surveys;Survey Design
repair coordination;Operations Management
one-on-one;Communication
stored energy;Energy Management
engineering works understanding;Engineering
privacy laws and regulations;Data Privacy Compliance and Regulations Law
Organic Synthesis;Organic Synthesis
Global Regulatory Compliance;Corporate and Business Law
A+;Computer Science
native applications;Software Development
OT organizational;OT
Flight Safety;Aerospace Engineering
scientific degree;Science
safety and fraud prevention program execution;Security Protocols
Fast-paced work capability;Resilience
facility and fixture maintenance;Maintenance
Behaviour Science;Psychology
Net Zero Prospecting;Sustainability
Nginx;Nginx
Microsoft SQL;Microsoft SQL Server
OSHA certification;Health and Safety
advisory;Legal Counseling
accountable;Accountability
3D Tracking;Graphic Design
3D Modeling;Graphic Design
inter-store transfers;Procurement
minimal supervision;Autonomy
home office;Flexibility
Competitive Scenario Analysis;Business Analysis
hand tool operation;Manufacturing
Video Games;Videogame Development
21st Century Skills;Problem Solving
women's RTW experience;Clothing Industry Process
exceptional communication skills;Communication
DOT pre-employment drug screen;People Management
Lingua spagnola;Spanish
SEO Audits;SEO
Eclairage et rendu;Graphic Design
NUnit;.NET
Design database;Database Administration
portfolios;Project Management
oil and gas;Oil and Gas Management
Risk Governance;Risk Management
customer service experience;Customer Support
prometheus;Cloud-Computing
3rd Party Software Integration;REST APIs
Data Modeling;Data Management
Facebook Advertising;Social Media Marketing
Customer Strategy;Consumer Behavior Analysis
construction works;Construction
night and weekend work;Flexibility
WTGs equipment knowledge;Structural Engineering
injury prevention;Health and Safety
ADCs;Automation
Entity Framework;.NET
pallet jack;Rigid Vehicles
Quantum Chemistry;Computational Chemistry
Elasticsearch;Elasticsearch
p&l;Accounting
Corporate Entrepreneurship;Entrepreneurship
electrical test equipment;Electrical Wiring
Valves;Maintenance
Customer Experience;User Experience Design
Representation;Corporate and Business Law
Airline Management;Operations Management
e-learning;E-Learning and Educational Technology
state laws;Federal and State Law
energy sector;Energy Management
Statistical modelling;Data Science
fashion industry knowledge;Apparel and Fashion Design
LinkedIn Recruiter;Social Media Marketing
water trucks;Rigid Vehicles
sales goals;Sales
solar manufacturing;MEP Engineering
work with minimal supervision;Autonomy
groundwater chemistry;Chemistry
people development;People Management
floating naval/LQ engineering;Naval Engineering
1-Wire;1-Wire
sales planning;Sales
hazardous condition management;Physical Endurance and Skills
Infrastructure Architecture;Architecture
Equity Trading;Trading
clean driving record;Driver License Ability
test-and-learn approach;Good Attitude
excavator operation;Rigid Vehicles
Microsoft PowerPoint;Microsoft PowerPoint
UX analytics;User Experience Design
power supplies;Electrical Wiring
Software Requirements;Software Development
pipeline development;Software Development
SSIS;Microsoft SQL Server
audit & certification activities;Auditing
fashion industry awareness;Apparel and Fashion Design
Good Manufacturing Practice;Manufacturing
social impact;Marketing Management
Hazard Analysis;Risk Management
Employee Learning & Development;People Management
capital investment;Financial Services
shipment coordination;Supply Chain Management
copyright and other IPR issues;Intellectual Property and Copyright Law
Shop Management;Business Administration
Online Brand Building;Brand Marketing
Industrial Product Nomenclature;Product Management
HV protections;Electrical Wiring
Sqcd;Quality Control
server;Network Administration
version control systems;Software Development
contract forms;People Management
safe practices;Health and Safety
GitOps;Cybersecurity
Media Reporting;Reporting
4GL;Computer Science
.NET CLR;.NET
Customer Communications;Customer Relationship Management
human resource management;HR
8051 Microcontroller;Microcontrollers
oil & gas industry;Oil and Gas Management
Process Engineering;Process Management
client development;Customer Support
Ministerial Decree;Legal Counseling
Lightroom;Adobe Lightroom
industry developments;Business Development
Heavy Truck Driving;Rigid Vehicles
Investment Management;Financial Services
SuccessFactors;SAP SuccessFactors
goal-oriented;Result Driven
general site services;Operations Management
influencer marketing;Social Media Marketing
ADR Recording;People Management
sales KPIs;Performance Marketing
Software Troubleshooting;IT Operations & Management
price forecasts;Cost Analysis
Dynsim;Process Management
JBoss Seam;Jboss
Web Project Manager Head of Development;Project Management
master's degree in mathematics;Mathematics
job ads;Advertising
sales staff development;Sales
trade lifecycle knowledge;Trading
Online Business Management;Business Management
English language;English
consultative selling;Sales
distributed energy solutions;Energy Management
12 months term;Flexibility
Advisory Boards;Corporate Governance
supply-chain;Supply Chain Management
JavaServer Pages Standard Tag Library (JSTL);Java
innovation;Innovation
joint arrangements;New Business
cashiering;Budgeting
mexican health;Healthcare and Medical Services
R knowledge;R Programming Language
Kaizen methodology;Kaizen
WCF;Windows Communication Foundation
Intermediate Financial Management;Financial Services
retail merchandising;Merchandising
Ionic;Chemistry
Microsoft Software;Microsoft Windows
manuals;Structural Engineering
HR Development;HR Analytics
Personnel Development;Employee Training and Development
and various hand and power tools;Hydraulic System Maintenance 
commercial analysis;Business Analysis
Digital Supply Chain Management;Supply Chain Management
pressure handling;Resilience
Border Management;Immigration Law and Visa Services
search engines;SEO
two years of dispatcher experience;Experienced
environmental equipment;PPE Management
Microsoft VSphere;Microsoft VSphere
A&R Administration;Music Publishing
Airlines;Operations Management
production monitoring;Process Management
liaising;Communication
Green Building;Sustainability
client-centric mindset;Business Strategy
plant technicians;Business Management
Fleet and Network maintenance Responsible;Fleet Maintenance
confidentiality;Communication
HSEQ Design;HSEQ
diversity and inclusion;Diversity and Inclusion Initiatives Training
Business Analysis;Business Analysis
cost estimation;Budgeting
commodity markets analysis;Market Research
product launches;Brand Marketing
NDA;Legal Counseling
financial objectives;Financial Analysis
Hazards;Security Protocols
telco organizations;Communication
Telephony;Communication
Alternative Energy;Energy Management
Business Strategies;Business Strategy
Data Warehouse;Data Management
IT Recruiting;IT Operations & Management
integrity;Work Ethic
Brand Merchandising;Merchandising
functional analysis;Mathematics
required;Experienced
Web Design;Web Design
CCNA;IT Operations & Management
employee coaching and development;Employee Training and Development
process improvement strategies;Business Process
Flooring;Construction
CAD/CAM Software;CAD
industry verticals;Marketing Management
corporate policies and procedures;Corporate Governance
environmental science;Environmental Science
and overtime;Flexibility
corrective and preventative maintenance;Maintenance
Introducing Products;Innovation
Branch Accounting;Branch Accounting
depositing;Budgeting
coaching and mentoring;Employee Training and Development
Emas;Auditing
Microsoft .NET;.NET
HSE auditor qualifications;Health and Safety
Big Data Management;Big Data
Automotive;Automotives
Anaconda;Data Science
contracts management;People Management
international hr management;HR
3Delight;Graphic Design
Environmental Law;Environmental and Regulatory Law
procurement summary analytics;Procurement
Strategy d'impresa;Strategic Management
iPhone;Mobile Devices Development
Proactive Analytics;Data Analytics
chemical or materials engineering;Chemical Engineering
Option Pricing;Product Management
activity organization;People Management
Xcode;Xcode
food service industry;Restaurant and Food Service Management
API standards;Fuel Distribution and Logistics
receipts;Budgeting
system layouts building;System Administration
fork-lift truck;Rigid Vehicles
ISONE;ISO 14001
tracking;Operations Management
Animal Behavior;Psychology
corporate affairs support;Corporate Finance
ability to work in hot/cold ambient weather conditions and other hazardous conditions;Physical Endurance and Skills
results orientation;Proactivity
service changes;Service Change
class b license;Driver License Ability
uniform allowance;PPE Management
Resource Portfolio Management;Project Management
profit protection;Security Protocols
Facebook Business Manager;Social Media Marketing
SAP Data Retention;SAP
professional English;English
contract negotiation (internal and external);People Management
Rhinoceros;Rhinoceros
food allergen awareness;Nutrition and Dietary Consulting
Maritime Transport;Naval Management
Eclairage photo;Graphic Design
Customer Relation Management;Customer Relationship Management
Tracking Systems;Operations Management
Culture Management;People Management
promotion analysis;Promotion Analysis
renewable energy industry;Energy Management
Fault Analysis;Fault Diagnosis
recording;Business Administration
L&D;People Management
credit limits;Accounting
Health and safety at work;Health and Safety
Master Degree in Law;Legal Counseling
import/export regulations;International Trading
Spare Parts Control;Maintenance
project evaluation;Project Management
Stock Planning;Inventory Management
Associate Consultant SEA;Advertising
amp clamps;Mechanics
rigging;Rigid Vehicles
Reticulazione;Chemistry
international business administration;Business Administration
Purchasing Management;Marketing Management
trend awareness;Market Research
civil law;Federal and State Law
Digital Platform Architecture;Software Development
luxury business;Luxury Management
editorial writing;Copywriting
IT recruitment;IT Operations & Management
design sprint;Concept Design
Preparation for Site Walks;Civil Engineering
technician III;Technician
ability to identify unsatisfactory waste containers and tag containers;Waste Management
team supervision;Leadership
Creativity;Creativity
Corporate Reviews;Operations Management
international transport;International Relations
assortment management;Inventory Management
inspections;Auditing
SAP UI5;SAP
statistic;Statistics
Sewer Structures;Structural Engineering
client segment learning agendas;Customer Relationship Management
Credit Risk Modeling;Risk Management
Pipeline Operations;Software Development
market benchmarking;Market Research
retail CRM;Customer Relationship Management
8051 Assembly;Microcontrollers
2d-3d mec cad;CAD
sick time;People Management
3D Materials;Graphic Design
Microsoft applications proficiency;Microsoft Office
Profit;Accounting
EViews;Data Visualization
bilingual skills;Communication
equipment troubleshooting;Product Management
safety gear;PPE Management
Web Engineering;Web Development
ABI;Computer Science
Microsoft Technologies;Microsoft Office
Business Law;Corporate and Business Law
Fashion;Apparel and Fashion Design
regulatory and legislative frameworks;Regulatory Compliance Law
in-house;Business Process
short-term and medium-term management;Management
stock keeping;Product Management
Concept Art;Art
Ability to work in a fast-paced environment;Resilience
Postpaid Reporting;Reporting
oil market analysis;Oil and Gas Management
statutory accounts;Accounting
Plant Control;Water Treatment Plant Maintenance
Market Engineer;Market Research
Surface Chemistry;Chemistry
UR5;UR5
Workday HCM;HR
safety systems engineering;Cybersecurity
Post Affiliate Pro;Affiliate Marketing
proficiency in Microsoft Office programs;Microsoft Office
sales supervisor;Sales
Reporting to Responsible Engineering;Reporting
Garment Production;Textile Manufacturing and Production
Sales Training;Sales
business skills;Business Development
selling deck;Sales
heavy vehicle maintenance;Rigid Vehicles
adjustment codes;Software Development
Microsoft Photo Story;Photography
Strategic Influence;Influencing Skills
track maintenance;Rigid Vehicles
safety and occupational health degree;Healthcare and Medical Services
reasoning;Critical Thinking
retail excellence;Retail
Rechnungswesen;Accounting
point-of-sale;Sales
agility;Physical Endurance and Skills
BI tools;Business Intelligence
Ubuntu;Ubuntu
it;IT Operations & Management
background screening;HR
chemical testing;Chemical Engineering
packing;Product Management
3rd Party Partnerships;New Business
technical assessment;Operations Management
tariff analysis;Cost Analysis
Auditing;Auditing
Product Verification;Quality Control
remote work;Flexibility
sales quotas;Sales
Video Production;Video Production
Sun Certified Java Programmer;Java
Audio Editing;Audio Editing
Front office;Customer Support
Research new sales channels;Market Research
Job Offer;Talent Acquisition and Recruitment
Good Manufacturing Process;Manufacturing
omnichannel interactions;Business Development
SEM;Digital Marketing
relational/no-SQL/in-memory databases;NoSQL
cycle count;Inventory Management
Scuba Diving;Diving
lean methodologies;Business Planning
mathematical programming;Computer Programming
VMware;VMware
adaptive management;Business Management
critical path analysis;Project Management
growth and development;Business Development
401k knowledge;Accounting
recurrence prevention;Security Protocols
Intercompany Credit Notes;Accounting
Business Modelling;Business Strategy
compliance with regulations and policies;Workplace Policy Conduct
Cloud Native Applications;Cloud-Computing
